Heap-based Buffer Overflow in vim/vim,CVE-2021-3903,CWE-122: Heap-based Buffer Overflow," check_cursor_lnum();
 curwin->w_topline = curwin->w_cursor.lnum;
 curwin->w_botline = curwin->w_topline;

 curwin->w_scbind_pos = 1;
 return;
    }
  else
    silent exe ""normal! `[v`]y""
  endif
  let g:a = strlen(substitute(@@, '[^ ]', '', 'g'))
  let &selection = sel_save
  let @@ = reg_save
endfunc

func OpfuncDummy(type, ...)
  "" for testing operatorfunc
  let g:opt = &linebreak

  if a:0  "" Invoked from Visual mode, use gv command.
    silent exe ""normal! gvy""
  endif
  "" Create a new dummy window
  new
  let g:bufnr = bufnr('%')
endfunc

func Test_normal00_optrans()
  close!
endfunc

func Test_scroll_in_ex_mode()
  "" This was using invalid memory because w_botline was invalid.
  let lines =<< trim END
      diffsplit
      norm os00(
      call writefile(['done'], 'Xdone')
      qa!
  END
  call writefile(lines, 'Xscript')
  call assert_equal(1, RunVim([], [], '--clean -X -Z -e -s -S Xscript'))
  call assert_equal(['done'], readfile('Xdone'))

  call delete('Xscript')
  call delete('Xdone')
endfunc

"" Test for the 'sidescroll' option
func Test_sidescroll_opt()
  new

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    3564,
/**/
    3563,
/**/
"
Heap-based Buffer Overflow in vim/vim,CVE-2021-3927,CWE-122: Heap-based Buffer Overflow," eap->forceit = TRUE;
    }
    curwin->w_cursor.lnum = eap->line2;
    check_cursor_col();
    do_put(eap->regname, NULL, eap->forceit ? BACKWARD : FORWARD, 1L,
             PUT_LINE|PUT_CURSLINE);
}
  bwipe!
endfunc

func Test_put_above_first_line()
  new
  let @"" = 'text'
  silent! normal 0o00
  0put
  call assert_equal('text', getline(1))
  bwipe!
endfunc


"" vim: shiftwidth=2 sts=2 expandtab

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    3581,
/**/
    3580,
/**/
"
Use of Uninitialized Variable in vim/vim,CVE-2021-3928,CWE-457: Use of Uninitialized Variable,"      // char, e.g., ""thes,"" -> ""these"".
      p = fword + sp->ts_fidx;
      MB_PTR_BACK(fword, p);
      if (!spell_iswordp(p, curwin) && *preword != NUL)
      {
   p = preword + STRLEN(preword);
   MB_PTR_BACK(preword, p);
  call delete('XtestSpell')
endfunc

func Test_spell_single_word()
  new
  silent! norm 0R00
  spell! ßÂ
  silent 0norm 0r$ Dvz=
  bwipe!
endfunc

let g:test_data_aff1 = [
      \""SET ISO8859-1"",
      \""TRY esianrtolcdugmphbyfvkwjkqxz-\xEB\xE9\xE8\xEA\xEF\xEE\xE4\xE0\xE2\xF6\xFC\xFB'ESIANRTOLCDUGMPHBYFVKWJKQXZ"",

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    3582,
/**/
    3581,
/**/
"
Heap-based Buffer Overflow in vim/vim,CVE-2021-3968,CWE-122: Heap-based Buffer Overflow,"    VIsual_mode = c;
    VIsual_active = TRUE;
    VIsual_reselect = TRUE;


    // Corner case: the 0 position in a tab may change when going into
    // virtualedit.  Recalculate curwin->w_cursor to avoid bad highlighting.
    foldAdjustVisual();
#endif

    trigger_modechanged();
    setmouse();
#ifdef FEAT_CONCEAL
    // Check if redraw is needed after changing the state.
func Test_recursive_ModeChanged()
  au! ModeChanged * norm 0u
  sil! norm 
  au! ModeChanged
endfunc

func Test_ModeChanged_starts_visual()
  "" This was triggering ModeChanged before setting VIsual, causing a crash.
  au! ModeChanged * norm 0u
  sil! norm 

  au! ModeChanged
endfunc

"" Test toggling of input method. See :help i_CTRL-^

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    3610,
/**/
    3609,
/**/
"
Heap-based Buffer Overflow in vim/vim,CVE-2021-3973,CWE-122: Heap-based Buffer Overflow,"    proc->pr_WindowPtr = (APTR)-1L;
# endif

    if (len == 0)
 return NULL;

    if (first == TRUE)
    {
 // copy file name into NameBuff, expanding environment variables
    int  c;
# if defined(FEAT_FIND_ID) && defined(FEAT_EVAL)
    char_u *tofree = NULL;
# endif

    if (len == 0)
 return NULL;

# if defined(FEAT_FIND_ID) && defined(FEAT_EVAL)
    if ((options & FNAME_INCL) && *curbuf->b_p_inex != NUL)
    {
 tofree = eval_includeexpr(ptr, len);
     *pp = ml_get_pos(&VIsual);
     *lenp = curwin->w_cursor.col - VIsual.col + 1;
 }
 if (**pp == NUL)
     *lenp = 0;
 if (has_mbyte && *lenp > 0)
     // Correct the length to include all bytes of the last character.
     *lenp += (*mb_ptr2len)(*pp + (*lenp - 1)) - 1;
    }
    reset_VIsual_and_resel();
  call delete('XTest_block')
endfunc

func Test_visual_block_ctrl_w_f()
  "" Emtpy block selected in new buffer should not result in an error.
  au! BufNew foo sil norm f
  edit foo

  au! BufNew
endfunc

func Test_visual_reselect_with_count()
  "" this was causing an illegal memory access
  let lines =<< trim END

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    3611,
/**/
    3610,
/**/
"
Use After Free in vim/vim,CVE-2021-3974,CWE-416: Use After Free,"    // The current match-position is stord in these variables:
    linenr_T lnum;  // line number, relative to first line
    char_u *line;  // start of current line
    char_u *input;  // current input, points into ""line""

    int need_clear_subexpr; // subexpressions still need to be cleared
#ifdef FEAT_SYN_HL
     case NFA_MARK_GT:
     case NFA_MARK_LT:
       {
  size_t col = rex.input - rex.line;
  pos_T *pos = getmark_buf(rex.reg_buf, t->state->val, FALSE);

  // Line may have been freed, get it again.
  if (REG_MULTI)
  {
      rex.line = reg_getline(rex.lnum);
      rex.input = rex.line + col;
  }

  // Compare the mark position to the match position, if the mark
  // exists and mark is set in reg_buf.
  if (pos != NULL && pos->lnum > 0)
  set re&
endfunc

func Test_using_mark_position()
  "" this was using freed memory
  new
  norm O0
  call assert_fails(""s/\\%')"", 'E486:')
  bwipe!
endfunc

"" vim: shiftwidth=2 sts=2 expandtab

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    3612,
/**/
    3611,
/**/
"
Heap-based Buffer Overflow in vim/vim,CVE-2021-3984,CWE-122: Heap-based Buffer Overflow,"    static pos_T *
find_start_brace(void)     // XXX
{
    pos_T     cursor_save;
    pos_T     *trypos;
    pos_T     *pos;
    static pos_T    pos_copy;

    cursor_save = curwin->w_cursor;
    while ((trypos = findmatchlimit(NULL, '{', FM_BLOCKSTOP, 0)) != NULL)
         && (pos = ind_find_start_CORS(NULL)) == NULL) // XXX
     break;
 if (pos != NULL)
     curwin->w_cursor = *pos;
    }
    curwin->w_cursor = cursor_save;
    return trypos;
  bwipe!
endfunc

func Test_find_brace_backwards()
  "" this was looking beyond the end of the line
  new
  norm R/*
  norm o0{
  norm o//
  norm V{=
  call assert_equal(['/*', '   0{', '//'], getline(1, 3))
  bwipe!
endfunc


"" vim: shiftwidth=2 sts=2 expandtab

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    3625,
/**/
    3624,
/**/
"
Heap-based Buffer Overflow in vim/vim,CVE-2021-4019,CWE-122: Heap-based Buffer Overflow,"      || (vim_strchr((char_u *)""%_z@"", arg[1]) != NULL
          && arg[2] != NUL)))
 {
     vim_snprintf((char *)d, IOSIZE, ""/\\\\%s"", arg + 1);

     // Check for ""/\\_$"", should be ""/\\_\$""
     if (d[3] == '_' && d[4] == '$')
  STRCPY(d + 4, ""\\$"");
  close
endfunc

func Test_help_long_argument()
  try
    exe 'help \%' .. repeat('0', 1021)
  catch
    call assert_match(""E149:"", v:exception)
  endtry
endfunc


"" vim: shiftwidth=2 sts=2 expandtab

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    3669,
/**/
    3668,
/**/
"
Cross-site Scripting (XSS) - Stored in meetecho/janus-gateway,CVE-2021-4020,CWE-79: Cross-site Scripting (XSS) - Stored,"            Janus.debug(""Got a list of participants:"", list);
            for(var f in list) {
             var id = list[f][""id""];
             var display = escapeXmlTags(list[f][""display""]);
             var setup = list[f][""setup""];
             var muted = list[f][""muted""];
             var spatial = list[f][""spatial_position""];
            Janus.debug(""Got a list of participants:"", list);
            for(var f in list) {
             var id = list[f][""id""];
             var display = escapeXmlTags(list[f][""display""]);
             var setup = list[f][""setup""];
             var muted = list[f][""muted""];
             var spatial = list[f][""spatial_position""];
            Janus.debug(""Got a list of participants:"", list);
            for(var f in list) {
             var id = list[f][""id""];
             var display = escapeXmlTags(list[f][""display""]);
             var setup = list[f][""setup""];
             var muted = list[f][""muted""];
             var spatial = list[f][""spatial_position""];
   return;
  }
  var register = { request: ""join"", room: myroom, display: username };
  myusername = escapeXmlTags(username);
  // Check if we need to join using G.711 instead of (default) Opus
  if(acodec === 'opus' || acodec === 'pcmu' || acodec === 'pcma')
   register.codec = acodec;
  results = regex.exec(location.search);
 return results === null ? """" : decodeURIComponent(results[1].replace(/\+/g, "" ""));
}

// Helper to escape XML tags
function escapeXmlTags(value) {
 if(value) {
  var escapedValue = value.replace(new RegExp('<', 'g'), '&lt');
  escapedValue = escapedValue.replace(new RegExp('>', 'g'), '&gt');
  return escapedValue;
 }
}
   Janus.debug(""Got a list of available recordings:"", list);
   for(var mp in list) {
    Janus.debug(""  >> ["" + list[mp][""id""] + ""] "" + list[mp][""name""] + "" ("" + list[mp][""date""] + "")"");
    $('#recslist').append(""<li><a href='#' id='"" + list[mp][""id""] + ""'>"" + escapeXmlTags(list[mp][""name""]) + "" ["" + list[mp][""date""] + ""]"" + ""</a></li>"");
   }
   $('#recslist a').unbind('click').click(function() {
    selectedRecording = $(this).attr(""id"");
    selectedRecordingInfo = escapeXmlTags($(this).text());
    $('#recset').html($(this).html()).parent().removeClass('open');
    $('#play').removeAttr('disabled').click(startPlayout);
    return false;
  results = regex.exec(location.search);
 return results === null ? """" : decodeURIComponent(results[1].replace(/\+/g, "" ""));
}

// Helper to escape XML tags
function escapeXmlTags(value) {
 if(value) {
  var escapedValue = value.replace(new RegExp('<', 'g'), '&lt');
  escapedValue = escapedValue.replace(new RegExp('>', 'g'), '&gt');
  return escapedValue;
 }
}
          if(event === ""joined"") {
           myid = msg[""id""];
           $('#session').html(room);
           $('#title').html(escapeXmlTags(msg[""description""]));
           Janus.log(""Successfully joined room "" + msg[""room""] + "" with ID "" + myid);
           if(role === ""publisher"") {
            // This is our session, publish our stream
   }
  });
}

// Helper to escape XML tags
function escapeXmlTags(value) {
 if(value) {
  var escapedValue = value.replace(new RegExp('<', 'g'), '&lt');
  escapedValue = escapedValue.replace(new RegExp('>', 'g'), '&gt');
  return escapedValue;
 }
}
   Janus.debug(list);
   for(var mp in list) {
    Janus.debug(""  >> ["" + list[mp][""id""] + ""] "" + list[mp][""description""] + "" ("" + list[mp][""type""] + "")"");
    $('#streamslist').append(""<li><a href='#' id='"" + list[mp][""id""] + ""'>"" + escapeXmlTags(list[mp][""description""]) + "" ("" + list[mp][""type""] + "")"" + ""</a></li>"");
   }
   $('#streamslist a').unbind('click').click(function() {
    selectedStream = $(this).attr(""id"");
 var body = { request: ""info"", id: parseInt(selectedStream) || selectedStream };
 streaming.send({ message: body, success: function(result) {
  if(result && result.info && result.info.metadata) {
   $('#metadata').html(escapeXmlTags(result.info.metadata));
   $('#info').removeClass('hide').show();
  }
 }});
 simulcastStarted = false;
}

// Helper to escape XML tags
function escapeXmlTags(value) {
 if(value) {
  var escapedValue = value.replace(new RegExp('<', 'g'), '&lt');
  escapedValue = escapedValue.replace(new RegExp('>', 'g'), '&gt');
  return escapedValue;
 }
}

// Helpers to create Simulcast-related UI, if enabled
function addSimulcastButtons() {
 $('#curres').parent().append(
         var what = json[""textroom""];
         if(what === ""message"") {
          // Incoming message: public or private?
          var msg = escapeXmlTags(json[""text""]);


          var from = json[""from""];
          var dateString = getDateString(json[""date""]);
          var whisper = json[""whisper""];
          }
         } else if(what === ""announcement"") {
          // Room announcement
          var msg = escapeXmlTags(json[""text""]);


          var dateString = getDateString(json[""date""]);
          $('#chatroom').append('<p style=""color: purple;"">[' + dateString + '] <i>' + msg + '</i>');
          $('#chatroom').get(0).scrollTop = $('#chatroom').get(0).scrollHeight;
         } else if(what === ""join"") {
          // Somebody joined
          var username = json[""username""];
          var display = json[""display""];
          participants[username] = escapeXmlTags(display ? display : username);
          if(username !== myid && $('#rp' + username).length === 0) {
           // Add to the participants list
           $('#list').append('<li id=""rp' + username + '"" class=""list-group-item"">' + participants[username] + '</li>');
   username: myid,
   display: username
  };
  myusername = escapeXmlTags(username);
  transactions[transaction] = function(response) {
   if(response[""textroom""] === ""error"") {
    // Something went wrong
   if(response.participants && response.participants.length > 0) {
    for(var i in response.participants) {
     var p = response.participants[i];
     participants[p.username] = escapeXmlTags(p.display ? p.display : p.username);
     if(p.username !== myid && $('#rp' + p.username).length === 0) {
      // Add to the participants list
      $('#list').append('<li id=""rp' + p.username + '"" class=""list-group-item"">' + participants[p.username] + '</li>');
  results = regex.exec(location.search);
 return results === null ? """" : decodeURIComponent(results[1].replace(/\+/g, "" ""));
}

// Helper to escape XML tags
function escapeXmlTags(value) {
 if(value) {
  var escapedValue = value.replace(new RegExp('<', 'g'), '&lt');
  escapedValue = escapedValue.replace(new RegExp('>', 'g'), '&gt');
  return escapedValue;
 }
}
          } else if(result[""event""]) {
           var event = result[""event""];
           if(event === 'registered') {
            myusername = escapeXmlTags(result[""username""]);
            Janus.log(""Successfully registered as "" + myusername + ""!"");
            $('#youok').removeClass('hide').show().html(""Registered as '"" + myusername + ""'"");
            // Get a list of available peers, just for fun
            bootbox.alert(""Waiting for the peer to answer..."");
           } else if(event === 'incomingcall') {
            Janus.log(""Incoming call from "" + result[""username""] + ""!"");
            yourusername = escapeXmlTags(result[""username""]);
            // Notify user
            bootbox.hideAll();
            incoming = bootbox.dialog({
            });
           } else if(event === 'accepted') {
            bootbox.hideAll();
            var peer = escapeXmlTags(result[""username""]);
            if(!peer) {
             Janus.log(""Call started!"");
            } else {
 return results === null ? """" : decodeURIComponent(results[1].replace(/\+/g, "" ""));
}

// Helper to escape XML tags
function escapeXmlTags(value) {
 if(value) {
  var escapedValue = value.replace(new RegExp('<', 'g'), '&lt');
  escapedValue = escapedValue.replace(new RegExp('>', 'g'), '&gt');
  return escapedValue;
 }
}

// Helpers to create Simulcast-related UI, if enabled
function addSimulcastButtons(temporal) {
 $('#curres').parent().append(
   ptype: ""publisher"",
   display: username
  };
  myusername = escapeXmlTags(username);
  sfutest.send({ message: register });
 }
}
       }
      }
      remoteFeed.rfid = msg[""id""];
      remoteFeed.rfdisplay = escapeXmlTags(msg[""display""]);
      if(!remoteFeed.spinner) {
       var target = document.getElementById('videoremote'+remoteFeed.rfindex);
       remoteFeed.spinner = new Spinner({top:100}).spin(target);
 return results === null ? """" : decodeURIComponent(results[1].replace(/\+/g, "" ""));
}

// Helper to escape XML tags
function escapeXmlTags(value) {
 if(value) {
  var escapedValue = value.replace(new RegExp('<', 'g'), '&lt');
  escapedValue = escapedValue.replace(new RegExp('>', 'g'), '&gt');
  return escapedValue;
 }
}

// Helpers to create Simulcast-related UI, if enabled
function addSimulcastButtons(feed, temporal) {
 var index = feed;
   ptype: ""publisher"",
   display: username
  };
  myusername = escapeXmlTags(username);
  sfutest.send({ message: register });
 }
}
       }
      }
      remoteFeed.rfid = msg[""id""];
      remoteFeed.rfdisplay = escapeXmlTags(msg[""display""]);
      if(!remoteFeed.spinner) {
       var target = document.getElementById('videoremote'+remoteFeed.rfindex);
       remoteFeed.spinner = new Spinner({top:100}).spin(target);
  });
}

// Helper to escape XML tags
function escapeXmlTags(value) {
 if(value) {
  var escapedValue = value.replace(new RegExp('<', 'g'), '&lt');
  escapedValue = escapedValue.replace(new RegExp('>', 'g'), '&gt');
  return escapedValue;
 }
}

// Helpers to create SVC-related UI for a new viewer
function addSvcButtons(feed) {
 var index = feed;
"
NULL Pointer Dereference in gpac/gpac,CVE-2021-4043,CWE-476: NULL Pointer Dereference," u32 i;
 GroupIdToNameBox *ptr = (GroupIdToNameBox *)s;
 if (ptr == NULL) return;
 if (ptr->entries) {
  for (i=0; i<ptr->nb_entries; i++) {
   if (ptr->entries[i].name) gf_free(ptr->entries[i].name);
  }
  gf_free(ptr->entries);
 }

 gf_free(ptr);
}

"
Use After Free in vim/vim,CVE-2021-4069,CWE-416: Use After Free," regmatch.regprog = vim_regcomp(eap->arg, magic_isset() ? RE_MAGIC : 0);
 if (regmatch.regprog != NULL)
 {
     // make a copy of the line, when searching for a mark it might be
     // flushed
     char_u *line = vim_strsave(ml_get_curline());

     regmatch.rm_ic = p_ic;
     if (vim_regexec(&regmatch, line, (colnr_T)0))
  curwin->w_cursor.col = (colnr_T)(regmatch.startp[0] - line);

     else
  emsg(_(e_nomatch));
     vim_regfree(regmatch.regprog);
     vim_free(line);
 }
 // Move to the NUL, ignore any other arguments.
 eap->arg += STRLEN(eap->arg);
  close!
endfunc

func Test_open_command_flush_line()
  "" this was accessing freed memory: the regexp match uses a pointer to the
  "" current line which becomes invalid when searching for the ') mark.
  new
  call setline(1, ['one', 'two. three'])
  s/one/ONE
  try
    open /\%')/
  catch /E479/
  endtry
  bwipe!
endfunc

"" Test for :g/pat/visual to run vi commands in Ex mode
"" This used to hang Vim before 8.2.0274.
func Test_Ex_global()

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    3741,
/**/
    3740,
/**/
"
NULL Pointer Dereference in mruby/mruby,CVE-2021-4110,CWE-476: NULL Pointer Dereference,"struct RProc *mrb_closure_new(mrb_state*, const mrb_irep*);
MRB_API struct RProc *mrb_proc_new_cfunc(mrb_state*, mrb_func_t);
MRB_API struct RProc *mrb_closure_new_cfunc(mrb_state *mrb, mrb_func_t func, int nlocals);
void mrb_proc_copy(mrb_state *mrb, struct RProc *a, struct RProc *b);
mrb_int mrb_proc_arity(const struct RProc *p);

/* following functions are defined in mruby-proc-ext so please include it when using */
    mrb_raise(mrb, E_ARGUMENT_ERROR, ""no block given"");
  }
  p = MRB_OBJ_ALLOC(mrb, MRB_TT_PROC, mrb->proc_class);
  mrb_proc_copy(mrb, p, mrb_proc_ptr(blk));
  p->flags |= MRB_PROC_STRICT;
  MRB_METHOD_FROM_PROC(m, p);
  mrb_define_method_raw(mrb, c, mid, m);
}

void
mrb_proc_copy(mrb_state *mrb, struct RProc *a, struct RProc *b)
{
  if (a->body.irep) {
    /* already initialized proc */
    return;
  }
  a->flags = b->flags;
  a->body = b->body;
  a->upper = b->upper;
  if (!MRB_PROC_CFUNC_P(a) && a->body.irep) {
    mrb_irep_incref(mrb, (mrb_irep*)a->body.irep);
  }

  a->e.env = b->e.env;
  /* a->e.target_class = a->e.target_class; */
}
  /* Calling Proc.new without a block is not implemented yet */
  mrb_get_args(mrb, ""&!"", &blk);
  p = MRB_OBJ_ALLOC(mrb, MRB_TT_PROC, mrb_class_ptr(proc_class));
  mrb_proc_copy(mrb, p, mrb_proc_ptr(blk));
  proc = mrb_obj_value(p);
  mrb_funcall_with_block(mrb, proc, MRB_SYM(initialize), 0, NULL, proc);
  if (!MRB_PROC_STRICT_P(p) &&
  if (!mrb_proc_p(proc)) {
    mrb_raise(mrb, E_ARGUMENT_ERROR, ""not a proc"");
  }
  mrb_proc_copy(mrb, mrb_proc_ptr(self), mrb_proc_ptr(proc));
  return self;
}

  p = mrb_proc_ptr(blk);
  if (!MRB_PROC_STRICT_P(p)) {
    struct RProc *p2 = MRB_OBJ_ALLOC(mrb, MRB_TT_PROC, p->c);
    mrb_proc_copy(mrb, p2, p);
    p2->flags |= MRB_PROC_STRICT;
    return mrb_obj_value(p2);
  }
"
Cross-site Scripting (XSS) - Stored in meetecho/janus-gateway,CVE-2021-4124,CWE-79: Cross-site Scripting (XSS) - Stored,"    text: JSON.stringify(message),
    error: function(reason) { bootbox.alert(reason); },
    success: function() {
     $('#chatroom').append('<p style=""color: purple;"">[' + getDateString() + '] <b>[whisper to ' + display + ']</b> ' + escapeXmlTags(result));
     $('#chatroom').get(0).scrollTop = $('#chatroom').get(0).scrollHeight;
    }
   });
"
Heap-based Buffer Overflow in vim/vim,CVE-2021-4136,CWE-122: Heap-based Buffer Overflow," ++*arg;
 ret = eval1(arg, rettv, evalarg);
 *arg = skipwhite_and_linebreak(*arg, evalarg);
 if (**arg == ')')
 {
     ++*arg;
 }
 else
 {
     emsg(_(e_missing_closing_paren));
     ret = FAIL;
 }

    }
    if (ret != OK)
 return FAIL;
  call assert_fails('echo {a, a -> a + a}(1, 2)', 'E853:')
  call assert_fails('echo {a, b -> a + b)}(1, 2)', 'E451:')
  echo assert_fails('echo 10->{a -> a + 2}', 'E107:')

  call assert_fails('eval 0->(', ""E110: Missing ')'"")
endfunc

func Test_not_lamda()

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    3847,
/**/
    3846,
/**/
"
Out-of-bounds Read in vim/vim,CVE-2021-4166,CWE-125: Out-of-bounds Read,"    tabpage_T *old_curtab, *last_curtab;
    win_T *new_curwin = NULL;
    tabpage_T *new_curtab = NULL;
    int  prev_arglist_locked = arglist_locked;

#ifdef FEAT_CMDWIN
    if (cmdwin_type != 0)
    // watch out for its size to be changed.
    alist = curwin->w_alist;
    ++alist->al_refcount;
    arglist_locked = TRUE;

    old_curwin = curwin;
    old_curtab = curtab;

    // Remove the ""lock"" on the argument list.
    alist_unlink(alist);
    arglist_locked = prev_arglist_locked;

    --autocmd_no_enter;

  au! BufEnter
endfunc

func Test_clear_arglist_in_all()
  n 0 00 000 0000 00000 000000
  au! * 0 n 0
  all
  au! *
endfunc

"" vim: shiftwidth=2 sts=2 expandtab

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    3884,
/**/
    3883,
/**/
"
Use After Free in vim/vim,CVE-2021-4173,CWE-416: Use After Free,"char_u *get_scriptlocal_funcname(char_u *funcname);
char_u *save_function_name(char_u **name, int *is_global, int skip, int flags, funcdict_T *fudi);
void list_functions(regmatch_T *regmatch);
ufunc_T *define_function(exarg_T *eap, char_u *name_arg, char_u **line_to_free);
void ex_function(exarg_T *eap);
void ex_defcompile(exarg_T *eap);
int eval_fname_script(char_u *p);
  assert_fails('FuncWithForwardCall()', 'E1096:', '', 1, 'FuncWithForwardCall')
enddef

def Test_nested_functin_with_nextcmd()
  var lines =<< trim END
      vim9script
      # Define an outer function
      def FirstFunction()
        # Define an inner function
        def SecondFunction()
          # the function has a body, a double free is detected.
          AAAAA

         # enddef followed by | or } followed by # one or more characters
         enddef|BBBB
      enddef

      # Compile all functions
      defcompile
  END
  CheckScriptFailure(lines, 'E476: Invalid command: AAAAA')
enddef

def Test_return_type_wrong()
  CheckScriptFailure([
        'def Func(): number',
 }
 else
 {

     if (eap->getline == NULL)
  theline = getcmdline(':', 0L, indent, getline_options);
     else
  theline = eap->getline(':', eap->cookie, indent,
             getline_options);
     if (*eap->cmdlinep == *line_to_free)
  *eap->cmdlinep = theline;
     vim_free(*line_to_free);
     *line_to_free = theline;
 }
 if (KeyTyped)
   // we can simply point into it, otherwise we need to
   // change ""eap->cmdlinep"".
   eap->nextcmd = nextcmd;
   if (*line_to_free != NULL
         && *eap->cmdlinep != *line_to_free)
   {
       vim_free(*eap->cmdlinep);
       *eap->cmdlinep = *line_to_free;
 }
 if (ga_grow(gap, 1) == FAIL || ga_grow(freegap, 1) == FAIL)
     goto erret;
 if (eap.nextcmd != NULL)
     // more is following after the ""}"", which was skipped
     last = cmdline;
 else
 ((char_u **)freegap->ga_data)[freegap->ga_len++] = pnl;
    }

    if (eap.nextcmd != NULL)
    {
 garray_T *tfgap = &evalarg->eval_tofree_ga;

 {
     ((char_u **)(tfgap->ga_data))[tfgap->ga_len++] = cmdline;
     evalarg->eval_using_cmdline = TRUE;
     if (cmdline == line_to_free)
  line_to_free = NULL;
 }
    }
    else
 * Returns a pointer to the function or NULL if no function defined.
 */
    ufunc_T *
define_function(exarg_T *eap, char_u *name_arg, char_u **line_to_free)
{

    int  j;
    int  c;
    int  saved_did_emsg;
    if (get_function_args(&p, ')', &newargs,
   eap->cmdidx == CMD_def ? &argtypes : NULL, FALSE,
    NULL, &varargs, &default_args, eap->skip,
    eap, line_to_free) == FAIL)
 goto errret_2;
    whitep = p;


    // Do not define the function when getting the body fails and when
    // skipping.
    if (get_function_body(eap, &newlines, line_arg, line_to_free) == FAIL
     || eap->skip)
 goto erret;

    }
ret_free:
    ga_clear_strings(&argtypes);

    vim_free(fudi.fd_newkey);
    if (name != name_arg)
 vim_free(name);
    void
ex_function(exarg_T *eap)
{
    char_u *line_to_free = NULL;

    (void)define_function(eap, NULL, &line_to_free);
    vim_free(line_to_free);
}

/*

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    3902,
/**/
    3901,
/**/
 * Compile a nested :def command.
 */
    static char_u *
compile_nested_function(exarg_T *eap, cctx_T *cctx, char_u **line_to_free)
{
    int  is_global = *eap->arg == 'g' && eap->arg[1] == ':';
    char_u *name_start = eap->arg;
    char_u *name_end = to_name_end(eap->arg, TRUE);
    int  off;
    char_u *func_name;
    char_u *lambda_name;
    ufunc_T *ufunc;
    int  r = FAIL;
    lambda_name = vim_strsave(get_lambda_name());
    if (lambda_name == NULL)
 return NULL;

    // This may free the current line, make a copy of the name.
    off = is_global ? 2 : 0;
    func_name = vim_strnsave(name_start + off, name_end - name_start - off);
    if (func_name == NULL)
    {
 r = FAIL;
 goto theend;
    }

    ufunc = define_function(eap, lambda_name, line_to_free);

    if (ufunc == NULL)
    {

    if (is_global)
    {
 r = generate_NEWFUNC(cctx, lambda_name, func_name);
 func_name = NULL;
 lambda_name = NULL;







    }
    else
    {
 // Define a local variable for the function reference.
 lvar_T *lvar = reserve_local(cctx, func_name, name_end - name_start,
          TRUE, ufunc->uf_func_type);

 if (lvar == NULL)

theend:
    vim_free(lambda_name);
    vim_free(func_name);
    return r == FAIL ? NULL : (char_u *)"""";
}

     case CMD_def:
     case CMD_function:
      ea.arg = p;
      line = compile_nested_function(&ea, &cctx, &line_to_free);
      break;

     case CMD_return:
  else
  {
      exarg_T ea;
      char_u  *line_to_free = NULL;

      CLEAR_FIELD(ea);
      ea.cmd = ea.arg = iptr->isn_arg.string;
      define_function(&ea, NULL, &line_to_free);
      vim_free(line_to_free);
  }
  break;

"
Use After Free in vim/vim,CVE-2021-4187,CWE-416: Use After Free,"  assert_fails('FuncWithForwardCall()', 'E1096:', '', 1, 'FuncWithForwardCall')
enddef

def Test_nested_function_with_nextcmd()
  var lines =<< trim END
      vim9script
      # Define an outer function
  CheckScriptFailure(lines, 'E476: Invalid command: AAAAA')
enddef

def Test_nested_function_with_args_split()
  var lines =<< trim END
      vim9script
      def FirstFunction()
        def SecondFunction(
        )
        # had a double free if the right parenthesis of the nested function is
        # on the next line

        enddef|BBBB
      enddef
      # Compile all functions
      defcompile
  END
  # FIXME: this should fail on the BBBB
  CheckScriptSuccess(lines)
enddef

def Test_return_type_wrong()
  CheckScriptFailure([
        'def Func(): number',
     if (theline == NULL)
  break;
     vim_free(*line_to_free);
     if (*eap->cmdlinep == *line_to_free)
  *eap->cmdlinep = theline;
     *line_to_free = theline;
     whitep = (char_u *)"" "";
     p = skipwhite(theline);

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    3923,
/**/
    3922,
/**/
"
NULL Pointer Dereference in mruby/mruby,CVE-2021-4188,CWE-476: NULL Pointer Dereference,"static mrb_value
mrb_ary_shift_m(mrb_state *mrb, mrb_value self)
{


  mrb_int n;


  if (mrb_get_args(mrb, ""|i"", &n) == 0) {
    return mrb_ary_shift(mrb, self);
  }

  struct RArray *a = mrb_ary_ptr(self);
  mrb_int len = ARY_LEN(a);
  mrb_value val;

  ary_modify_check(mrb, a);
  if (len == 0 || n == 0) return mrb_ary_new(mrb);
  if (n < 0) mrb_raise(mrb, E_ARGUMENT_ERROR, ""negative array shift"");
"
